81,2435,4004.25,0.60810389,Infiniband,Infiniband EDR
82,2395.68,2895.36,0.827420424,Custom Interconnect,Aries interconnect 
83,2395.68,2895.36,0.827420424,Custom Interconnect,Aries interconnect 
84,2376,2621.03,0.906513851,Proprietary Network,Tofu interconnect 2
85,2322.46,3581.76,0.648413071,Omnipath,Intel Omni-Path
86,2287,4890,0.467689162,Gigabit Ethernet,25G Ethernet
87,2271.38,2688,0.84500744,Omnipath,Intel Omni-Path
88,2249.68,3041.28,0.739714857,Infiniband,Infiniband QDR
89,2167.99,2534.4,0.855425347,Infiniband,Infiniband FDR
90,2157.41,2585.088,0.834559597,Infiniband,Infiniband FDR
91,2089.98,3072,0.680332031,Custom Interconnect,Aries interconnect 
92,2071.39,3074.5344,0.673724776,Custom Interconnect,TH Express-2
93,2001.99,2985.984,0.6704624,Omnipath,Intel Omni-Path
94,2001.99,2985.984,0.6704624,Omnipath,Intel Omni-Path
95,2000,3053.568,0.654971496,Omnipath,Intel Omni-Path
96,1997,4104.32,0.486560502,Gigabit Ethernet,10G Ethernet
97,1980.53,3052.339,0.6488565,Omnipath,Intel Omni-Path
98,1979,4096.512,0.48309391,Gigabit Ethernet,10G Ethernet
99,1967.81,2800.86998,0.702570992,Omnipath,Intel Omni-Path
100,1966.08,2491.3728,0.78915528,Infiniband,Infiniband FDR
101,1929.37,2409.6,0.800701361,Infiniband,Infiniband FDR
102,1928,3974.4,0.48510467,Gigabit Ethernet,10G Ethernet
103,1914.389,4292.352,0.446000002,Gigabit Ethernet,10G Ethernet
104,1896.75,2193.005,0.864909109,Custom Interconnect,Aries interconnect 
105,1871,2586.01,0.723508416,Infiniband,Infiniband FDR
106,1831.49,3456,0.529945023,Gigabit Ethernet,25G Ethernet
107,1829.86,4329.728,0.42262701,Infiniband,Infiniband EDR
108,1825,3353.184,0.54425883,Gigabit Ethernet,10G Ethernet
109,1807,3698.688,0.488551616,Gigabit Ethernet,10G Ethernet
110,1804,2923.776,0.617010332,Infiniband,Infiniband FDR
111,1802.51,2438.14,0.739297169,Custom Interconnect,Aries interconnect 
112,1790,3696,0.484307359,Gigabit Ethernet,10G Ethernet
113,1785.62,3072.768,0.581111233,Omnipath,Intel Omni-Path
114,1768.59,2861.568,0.618049265,Infiniband,Infiniband FDR
115,1750.18,2709.504,0.645941102,Omnipath,Intel Omni-Path
116,1736,7206.912,0.240879866,Gigabit Ethernet,10G Ethernet
117,1735.66,2799.36,0.62002029,Infiniband,Infiniband FDR
118,1729,3072,0.562825521,Gigabit Ethernet,10G Ethernet
119,1729,3072,0.562825521,Gigabit Ethernet,10G Ethernet
120,1729,3072,0.562825521,Gigabit Ethernet,10G Ethernet
121,1728.88,3978.24,0.434584138,Gigabit Ethernet,10G Ethernet
122,1723.89,2003.098,0.860611912,Omnipath,Intel Omni-Path
123,1714,3149.6,0.544196088,Gigabit Ethernet,10G Ethernet
124,1703.508,2737.152,0.622365145,Infiniband,Infiniband FDR
125,1703.28,2304,0.739270833,Infiniband,Infiniband FDR
126,1691,2703.36,0.625517874,Infiniband,Infiniband EDR
127,1686.54,2488.32,0.6777826,Omnipath,Intel Omni-Path
128,1684.19,2703.36,0.622998787,Infiniband,Infiniband EDR
129,1683,3446.784,0.48828125,Gigabit Ethernet,10G Ethernet
130,1676.22,3801.424,0.440945288,Infiniband,Infiniband EDR
131,1670.09,2348.64,0.711088119,Infiniband,Infiniband FDR
132,1668.16,2674.944,0.62362427,Infiniband,Infiniband FDR
133,1667.72,3207.168,0.519997705,Gigabit Ethernet,10G Ethernet
134,1654.702,2569.4208,0.643998056,Custom Interconnect,Aries interconnect 
135,1653.22,3440.64,0.480497814,Gigabit Ethernet,10G Ethernet
136,1649.11,2119.68,0.777999509,Gigabit Ethernet,40G Ethernet
137,1649.11,2119.68,0.777999509,Gigabit Ethernet,40G Ethernet
138,1649.11,2119.68,0.777999509,Gigabit Ethernet,40G Ethernet
139,1649.11,2119.68,0.777999509,Gigabit Ethernet,40G Ethernet
